analysis,feature_set,features,threshold_mean,precision_mean,precision_std,precision_ci95_low,precision_ci95_high,recall_mean,recall_std,recall_ci95_low,recall_ci95_high,f1_mean,f1_std,f1_ci95_low,f1_ci95_high,pr_auc_mean,pr_auc_std,pr_auc_ci95_low,pr_auc_ci95_high,balanced_accuracy_mean,balanced_accuracy_std,balanced_accuracy_ci95_low,balanced_accuracy_ci95_high,mcc_mean,mcc_std,mcc_ci95_low,mcc_ci95_high,normal_run_false_positive_rate_mean,normal_run_false_positive_rate_std,normal_run_false_positive_rate_ci95_low,normal_run_false_positive_rate_ci95_high,attacked_run_recall_mean,attacked_run_recall_std,attacked_run_recall_ci95_low,attacked_run_recall_ci95_high
leave_one_out,Without command targets,205,0.45888888888888885,1.0,0.0,1.0,1.0,0.985,0.01629800601300662,0.9647633526911411,1.0,0.9923888367442043,0.008295533035188807,0.9820885720285003,1.0,1.0,5.551115123125783e-17,0.9999999999999999,1.0,0.9925,0.00814900300650332,0.9823816763455706,1.0,0.9920559276990449,0.008642911033372978,0.9813243362292275,1.0,0.0,0.0,0.0,0.0,0.985,0.01629800601300662,0.9647633526911411,1.0
leave_one_out,Without joint efforts,165,0.49222222222222217,0.9975308641975309,0.005521155499999505,0.9906754441846968,1.0,0.9824999999999999,0.02091650066335191,0.9565287341579106,1.0,0.9898400516421099,0.009743001730379555,0.9777425171590606,1.0,0.9999691358024692,6.901444374998637e-05,0.9998834430523087,1.0,0.9911842105263158,0.010390259695377988,0.9782829991305773,1.0,0.9894112078206396,0.010099089417824114,0.9768715320758868,1.0,0.0,0.0,0.0,0.0,0.9824999999999999,0.02091650066335191,0.9565287341579106,1.0
leave_one_out,Without joint positions,156,0.45999999999999996,0.9975308641975309,0.005521155499999505,0.9906754441846968,1.0,0.99,0.01629800601300661,0.9697633526911412,1.0,0.9936782462889798,0.007801244776486435,0.9839917215088414,1.0,1.0,1.2412670766236366e-16,0.9999999999999999,1.0,0.9949342105263158,0.008099723628197811,0.9848770753017821,1.0,0.9933977519824616,0.008122610159530858,0.983312199375928,1.0,0.005,0.011180339887498949,0.0,0.018882225525988994,0.99,0.01629800601300661,0.9697633526911412,1.0
leave_one_out,Without joint velocities,156,0.45444444444444443,0.9975308641975309,0.005521155499999505,0.9906754441846968,1.0,0.985,0.01629800601300662,0.9647633526911411,1.0,0.9911466007193596,0.007272858246708028,0.9821161544703828,1.0,1.0,5.551115123125783e-17,0.9999999999999999,1.0,0.9924342105263158,0.00807430112410105,0.9824086415098633,1.0,0.9907521328372466,0.007570053812206981,0.981352669554164,1.0,0.005,0.011180339887498949,0.0,0.018882225525988994,0.985,0.01629800601300662,0.9647633526911411,1.0
leave_one_out,Without sampling context,216,0.49333333333333335,1.0,0.0,1.0,1.0,0.9825000000000002,0.018957188610128867,0.9589615413956446,1.0,0.991098826262869,0.00966506177465027,0.9790980670168704,1.0,1.0,1.3597399555105182e-16,0.9999999999999998,1.0,0.99125,0.009478594305064463,0.9794807706978221,1.0,0.9907223693007197,0.010060227913835335,0.9782309464863858,1.0,0.0,0.0,0.0,0.0,0.9825000000000002,0.018957188610128867,0.9589615413956446,1.0
leave_one_out,Without timing and context,211,0.5066666666666666,1.0,0.0,1.0,1.0,0.9824999999999999,0.01677050983124842,0.9616766617110164,1.0,0.991115052809804,0.008527549559239503,0.980526701529198,1.0,1.0,5.551115123125783e-17,0.9999999999999999,1.0,0.99125,0.008385254915624215,0.9808383308555082,1.0,0.9907295841660299,0.008889717831266469,0.9796915415807562,1.0,0.0,0.0,0.0,0.0,0.9824999999999999,0.01677050983124842,0.9616766617110164,1.0
leave_one_out,Without tracking residuals,205,0.5177777777777778,1.0,0.0,1.0,1.0,0.9800000000000001,0.022707377655731203,0.951805066671262,1.0,0.9897922771856192,0.011631379349379273,0.9753500121980443,1.0,1.0,5.551115123125783e-17,0.9999999999999999,1.0,0.99,0.01135368882786561,0.9759025333356309,1.0,0.9893814442841127,0.012074531102739766,0.9743889337186491,1.0,0.0,0.0,0.0,0.0,0.9800000000000001,0.022707377655731203,0.951805066671262,1.0
standalone,All cyber features,22,0.39333333333333337,0.9751416898368117,0.014856286937810747,0.9566951731991472,0.9935882064744762,0.9775,0.024044230077089192,0.9476451451487502,1.0,0.9762064510409845,0.016363259894991253,0.9558887803361222,0.9965241217458467,0.9965469950586009,0.005344255643017119,0.9899112252294692,1.0,0.9880921052631579,0.012156374506230635,0.9729979726900893,1.0,0.9750199997127067,0.017143425380524067,0.9537336256118173,0.9963063738135961,0.034999999999999996,0.022360679774997894,0.007235548948022013,0.06276445105197798,0.9775,0.024044230077089192,0.9476451451487502,1.0
standalone,All fused features,219,0.4877777777777778,1.0,0.0,1.0,1.0,0.985,0.01629800601300662,0.9647633526911411,1.0,0.9923888367442043,0.008295533035188807,0.9820885720285003,1.0,1.0,0.0,1.0,1.0,0.9925,0.00814900300650332,0.9823816763455706,1.0,0.9920559276990449,0.008642911033372978,0.9813243362292275,1.0,0.0,0.0,0.0,0.0,0.985,0.01629800601300662,0.9647633526911411,1.0
standalone,All physical features,183,0.47111111111111115,1.0,0.0,1.0,1.0,0.9875,0.017677669529663684,0.965550274172873,1.0,0.9936466983794243,0.008993537945929594,0.982479746095484,1.0,1.0,5.551115123125783e-17,0.9999999999999999,1.0,0.99375,0.008838834764831851,0.9827751370864365,1.0,0.9933752033112448,0.009372689165560567,0.9817374726080138,1.0,0.0,0.0,0.0,0.0,0.9875,0.017677669529663684,0.965550274172873,1.0
