feature_set,f1_loss_mean,f1_loss_ci95_low,f1_loss_ci95_high,recall_loss_mean,recall_loss_ci95_low,recall_loss_ci95_high,pr_auc_loss_mean,pr_auc_loss_ci95_low,pr_auc_loss_ci95_high
Without tracking residuals,0.0025965595585848876,-0.009527027292367589,0.014720146409537366,0.0050000000000000044,-0.018538458604355587,0.028538458604355596,2.2204460492503132e-17,-3.9445005155465094e-17,8.385392614047135e-17
Without joint efforts,0.002548785102094442,-0.001787005010341485,0.006884575214530369,0.0025000000000000135,-0.004441112762994521,0.009441112762994548,3.086419753088876e-05,-5.4828552629528264e-05,0.00011655694769130579
Without sampling context,0.0012900104813351686,-0.002291632805221716,0.004871653767892054,0.002499999999999991,-0.00444111276299448,0.00944111276299446,0.0,-1.6883401496766015e-16,1.6883401496766015e-16
Without timing and context,0.001273783934400119,-0.0022628072353446855,0.004810375104144924,0.0025000000000000135,-0.004441112762994521,0.009441112762994548,2.2204460492503132e-17,-3.9445005155465094e-17,8.385392614047135e-17
Without joint velocities,0.001242236024844723,-0.002206764105835779,0.004691236155525224,0.0,0.0,0.0,2.2204460492503132e-17,-3.9445005155465094e-17,8.385392614047135e-17
Without command targets,0.0,-0.005521943604308706,0.005521943604308706,0.0,-0.010974862913563517,0.010974862913563517,2.2204460492503132e-17,-3.9445005155465094e-17,8.385392614047135e-17
Without joint positions,-0.0012894095447755216,-0.014267552032797334,0.01168873294324629,-0.0050000000000000044,-0.028538458604355502,0.018538458604355493,-2.2204460492503132e-17,-1.7321419424526516e-16,1.288052732602589e-16
