command_id,run_key,dataset_class,task_type,task_phase,pose_name,attack_severity,attack_target_object,attack_active,outer_fold,target_reference_deviation_l2_rad,final_position_reference_deviation_l2_rad,velocity_profile_reference_deviation_l2_rad_s,effort_profile_reference_deviation_l2_nm,proxy_time_reference_deviation_s,final_tracking_error_l2_rad,analysis_label,target_reference_deviation_l2_rad_normal_percentile,final_position_reference_deviation_l2_rad_normal_percentile,velocity_profile_reference_deviation_l2_rad_s_normal_percentile,effort_profile_reference_deviation_l2_nm_normal_percentile,proxy_time_reference_deviation_s_normal_percentile,final_tracking_error_l2_rad_normal_percentile,composite_impact_percentile
d5d1fa06a9d04fc4afa65d73c52741e0,20260721_022322:24,mitm_trajectory_manipulation,long_cube_then_cylinder_sort,cube_transport,long_cube_place_high,high,cube,1,1,0.15,0.14909230060128695,0.04488903400388655,0.27545149789527185,0.025458511499999892,0.0015738673391232,MITM manipulation,100.0,100.0,95.88461538461537,58.38461538461538,75.11538461538461,7.730769230769232,72.8525641025641
4d8b1a8ad5774a5c8792863ad5537441,20260721_022451:27,mitm_trajectory_manipulation,short_cube_pick_place,cube_transport,long_cube_place_high,high,cube,1,1,0.15,0.1478421868831062,0.0603141779185103,0.23526112814126962,0.04898290450000009,0.0178007006269234,MITM manipulation,100.0,100.0,96.61538461538461,56.46153846153846,75.34615384615385,66.23076923076923,82.4423076923077
c321aae149e147c2a76fe3120311d9a5,20260721_022741:33,mitm_trajectory_manipulation,long_cube_then_cylinder_sort,cube_transport,long_cube_place_high,medium,cube,1,1,0.1,0.09923060890743043,0.08859111848116032,0.20254220797388062,0.0256251675000001,0.0017444666978879,MITM manipulation,100.0,99.96153846153845,97.26923076923077,54.42307692307692,75.11538461538461,8.923076923076923,72.6153846153846
a53fcb09c2e94c2292b9cf2f8e786a18,20260721_022817:34,mitm_trajectory_manipulation,short_cube_pick_place,cube_transport,long_cube_place_high,low,cube,1,1,0.05,0.05137674487087653,0.06055858800604461,0.3195484921951641,0.0009098844999999578,0.0195821914076319,MITM manipulation,100.0,99.84615384615385,96.65384615384616,59.88461538461538,73.5,71.6923076923077,83.59615384615384
8a481d2ef717455fb4efd516f856cf83,20260721_023230:44,mitm_trajectory_manipulation,short_cube_pick_place,cube_transport,long_cube_place_high,medium,cube,1,1,0.1,0.09882379248381773,0.12089941003390703,0.33679245614843684,0.05057430549999997,0.0104851900884275,MITM manipulation,100.0,99.96153846153845,97.84615384615385,60.65384615384616,97.42307692307692,40.57692307692308,82.74358974358974
49d122a3b187441b8e662fd0e727e362,20260721_023327:46,mitm_trajectory_manipulation,short_cube_pick_place,cube_transport,long_cube_place_high,low,cube,1,1,0.05,0.04921217687604656,0.06141658634756652,0.1436093920653957,0.0007766154999999664,0.0096448497196978,MITM manipulation,100.0,99.84615384615385,96.6923076923077,48.84615384615385,73.3076923076923,38.19230769230769,76.1474358974359
6bb752322b254a318c9a25b0c2ba8525,20260721_023539:50,mitm_trajectory_manipulation,long_cube_then_cylinder_sort,cylinder_transport,long_cylinder_place_high,medium,cylinder,1,1,0.10000000000000003,0.09802135935591628,0.09020122536205458,0.4074226550904996,0.049364197000000054,0.0144787283503432,MITM manipulation,100.0,99.96153846153845,97.3076923076923,64.3076923076923,76.76923076923077,56.80769230769231,82.52564102564104
831d923ee2e4424083e8c97314f85e5f,20260721_023839:54,mitm_trajectory_manipulation,long_cube_then_cylinder_sort,cube_transport,long_cube_place_high,high,cube,1,1,0.15,0.14960651483719753,0.13274607425510568,0.19699733442012554,0.02535137349999994,0.003866445142511,MITM manipulation,100.0,100.0,97.96153846153847,54.07692307692308,75.11538461538461,20.192307692307693,74.5576923076923
1424b6eee6994c8ba4d59ff8e1111229,20260721_024447:65,mitm_trajectory_manipulation,short_cube_pick_place,cube_transport,long_cube_place_high,high,cube,1,1,0.15,0.14670831156286657,0.18473285346472945,0.334705074992862,0.0006350294999999395,0.0137215800328202,MITM manipulation,100.0,100.0,98.38461538461539,60.57692307692307,72.11538461538461,54.26923076923077,80.89102564102565
3f8adcbedcd44eabad0aac98ca14506f,20260721_024520:67,mitm_trajectory_manipulation,long_cube_then_cylinder_sort,cylinder_transport,long_cylinder_place_high,low,cylinder,1,1,0.04999999999999999,0.049836134457521546,0.04655168111493448,0.23704032073096923,0.04904811499999995,0.015624375259789,MITM manipulation,100.0,99.84615384615385,96.0,56.49999999999999,75.38461538461539,60.53846153846154,81.37820512820514
