schema_version,session_id,run_key,run_id,task_type,condition,attack_type,attack_variant,attack_severity,attack_target,attack_target_object,attack_target_phase,attack_parameter_value,attack_parameter_unit,attack_event_id,attack_successfully_injected,attack_injection_count,task_outcome,started_at,finished_at,duration_seconds,telemetry_samples,status,error
sentinel_experiment_runs_v2,20260731_120551,20260731_120551:1,1,long_cube_then_cylinder_sort,normal,none,none,none,none,none,none,,,,0,0,completed,2026-07-31T12:05:57.041+01:00,2026-07-31T12:06:24.956+01:00,27.915,1320,success,
sentinel_experiment_runs_v2,20260731_120551,20260731_120551:2,2,long_cube_then_cylinder_sort,normal,none,none,none,none,none,none,,,,0,0,completed,2026-07-31T12:06:29.540+01:00,2026-07-31T12:06:57.659+01:00,28.119,1324,success,
