scenario_id,axis,held_out_value,feature_set,model,precision_mean,recall_mean,f1_mean,f1_std,balanced_accuracy_mean,mcc_mean,roc_auc_mean,pr_auc_mean,attack_event_recall_mean,attacked_run_alert_recall_mean,normal_run_false_positive_rate_mean
holdout_object_cube,object,cube,cyber_only,hist_gradient_boosting,0.0,0.0,0.0,0.0,0.497364528598749,-0.013403177965840707,0.8735284092111257,0.2090467864662105,0.0,0.10088624818577649,0.005
holdout_object_cube,object,cube,cyber_only,logistic_regression,0.0,0.0,0.0,0.0,0.4962473281838979,-0.018397987475693045,0.5739287014416216,0.05218388811440271,0.0,0.1274287552341391,0.03
holdout_object_cube,object,cube,cyber_only,random_forest,0.0,0.0,0.0,0.0,0.4999136442141623,-0.0012841080654733016,0.969177866543572,0.53095835107434,0.0,0.0034482758620689655,0.0
holdout_object_cube,object,cube,fused,hist_gradient_boosting,0.0,0.0,0.0,0.0,0.49841656266245116,-0.009200072555689049,0.9455096946083981,0.3999669388202213,0.0,0.06275550314465408,0.0
holdout_object_cube,object,cube,fused,logistic_regression,0.12,0.009375,0.017391304347826087,0.038888138739126776,0.5042739679976137,0.02858594937227047,0.7560727633511843,0.10789279146810186,0.009375,0.012708333333333332,0.02
holdout_object_cube,object,cube,fused,random_forest,0.0,0.0,0.0,0.0,0.5,0.0,0.9042301088350161,0.5400728918742117,0.0,0.0,0.0
holdout_object_cube,object,cube,physical_only,hist_gradient_boosting,0.0,0.0,0.0,0.0,0.5,0.0,0.8193051865595316,0.3704906659178894,0.0,0.0,0.0
holdout_object_cube,object,cube,physical_only,logistic_regression,0.0,0.0,0.0,0.0,0.4992533667787484,-0.00735641573732914,0.7724480302628259,0.09697705078749455,0.0,0.01002155172413793,0.03
holdout_object_cube,object,cube,physical_only,random_forest,0.4,0.027126436781609198,0.050806451612903224,0.06958420437454987,0.5135632183908045,0.10180517762041688,0.8865416488830633,0.46628802742612685,0.027126436781609198,0.027126436781609198,0.0
holdout_object_cylinder,object,cylinder,cyber_only,hist_gradient_boosting,0.86,0.2118265993265993,0.33400967224496636,0.16494082617566758,0.6056797409828591,0.4159866043735196,0.9882379705281383,0.6971424458810948,0.2118265993265993,0.21923400673400675,0.005
