schema_version,session_id,run_key,run_id,task_type,condition,attack_type,attack_variant,attack_severity,attack_target,attack_target_object,attack_target_phase,attack_parameter_value,attack_parameter_unit,attack_event_id,attack_successfully_injected,attack_injection_count,task_outcome,started_at,finished_at,duration_seconds,telemetry_samples,status,error
sentinel_experiment_runs_v2,20260731_121313,20260731_121313:1,1,short_cube_pick_place,attack,denial_of_service,command_delay,medium,arm_trajectory,cube,cube_transport,750,ms,delay-dos-plan-0001,1,1,completed,2026-07-31T12:13:17.334+01:00,2026-07-31T12:13:28.417+01:00,11.083,523,success,
sentinel_experiment_runs_v2,20260731_121401,20260731_121401:2,2,short_cube_pick_place,attack,denial_of_service,command_delay,low,arm_trajectory,cube,cube_transport,250,ms,delay-dos-plan-0002,1,1,completed,2026-07-31T12:14:04.943+01:00,2026-07-31T12:14:15.677+01:00,10.734,508,success,
