schema_version,session_id,run_key,run_id,task_type,attack_event_id,attack_type,attack_variant,attack_severity,attack_target,attack_target_object,attack_target_phase,attack_parameter_value,attack_parameter_unit,attack_source,source_timestamp,started_at,start_elapsed_seconds,ended_at,end_elapsed_seconds,duration_seconds,end_reason
sentinel_joint_telemetry_v2,20260731_121313,20260731_121313:1,1,short_cube_pick_place,delay-dos-plan-0001,denial_of_service,command_delay,medium,arm_trajectory,cube,cube_transport,750,ms,arm_delay_dos_proxy,2026-07-31T12:13:23.569+01:00,2026-07-31T12:13:23.569+01:00,6.235003,2026-07-31T12:13:24.319+01:00,6.985103,0.750099,delay_elapsed_before_forwarding
sentinel_joint_telemetry_v2,20260731_121401,20260731_121401:2,2,short_cube_pick_place,delay-dos-plan-0002,denial_of_service,command_delay,low,arm_trajectory,cube,cube_transport,250,ms,arm_delay_dos_proxy,2026-07-31T12:14:11.227+01:00,2026-07-31T12:14:11.228+01:00,6.284127,2026-07-31T12:14:11.478+01:00,6.534830,0.250703,delay_elapsed_before_forwarding
