fold,commands,runs,macro_f1,balanced_accuracy,block_threshold,block_precision,block_recall,normal_command_false_block_rate
1,1600,120,0.9793359378626488,0.97,,,,
2,1600,120,0.9899937460913072,0.99,,,,
3,1600,120,0.9702943995934536,0.9797368421052632,,,,
4,1600,120,0.9950561400974326,0.9998684210526316,,,,
5,1600,120,0.9899937460913072,0.99,,,,
overall,8000,600,0.9849520852442506,0.985921052631579,0.99,0.992248062015504,0.96,0.0003947368421052
