held_out_attack,outer_fold,feature_set,model,threshold,precision,recall,f1,balanced_accuracy,roc_auc,pr_auc,false_positive_rate,attack_event_recall,attacked_run_recall,normal_run_false_positive_rate,tn,fp,fn,tp
command_injection,1,cyber_only,logistic_regression,0.8250000000000001,0.0,0.0,0.0,0.48525641025641025,0.27878205128205125,0.01785095661308435,0.029487179487179487,0.0,0.95,0.1,757,23,20,0
command_injection,1,cyber_only,random_forest,0.35000000000000003,0.4634146341463415,0.95,0.6229508196721312,0.9608974358974358,0.9742307692307692,0.3167018884900361,0.028205128205128206,0.95,1.0,0.05,758,22,1,19
command_injection,1,cyber_only,hist_gradient_boosting,0.925,0.48717948717948717,0.95,0.6440677966101694,0.9621794871794871,0.9839102564102564,0.42590897473916495,0.02564102564102564,0.95,0.95,0.025,760,20,1,19
command_injection,1,physical_only,logistic_regression,0.85,0.21428571428571427,0.3,0.25,0.6358974358974359,0.9594230769230768,0.2355848438031789,0.028205128205128206,0.3,0.8,0.2,758,22,14,6
command_injection,1,physical_only,random_forest,0.445,0.8571428571428571,0.9,0.8780487804878049,0.948076923076923,0.9978205128205129,0.946645021645022,0.0038461538461538464,0.9,0.9,0.0,777,3,2,18
command_injection,1,physical_only,hist_gradient_boosting,0.99,0.6451612903225806,1.0,0.7843137254901961,0.992948717948718,0.9978846153846154,0.93475951889745,0.014102564102564103,1.0,1.0,0.0,769,11,0,20
command_injection,1,fused,logistic_regression,0.865,0.0,0.0,0.0,0.483974358974359,0.6542948717948718,0.03456813899786981,0.03205128205128205,0.0,0.95,0.15,755,25,20,0
command_injection,1,fused,random_forest,0.48000000000000004,0.45454545454545453,0.25,0.3225806451612903,0.6211538461538462,0.9817948717948718,0.40191879922779145,0.007692307692307693,0.25,0.45,0.0,774,6,15,5
command_injection,1,fused,hist_gradient_boosting,0.075,0.43243243243243246,0.8,0.5614035087719298,0.8865384615384615,0.9766666666666667,0.33260954930039555,0.026923076923076925,0.8,1.0,0.025,759,21,4,16
command_injection,2,cyber_only,logistic_regression,0.855,0.041666666666666664,0.05,0.045454545454545456,0.5102564102564102,0.20987179487179486,0.01822939115424141,0.029487179487179487,0.05,1.0,0.025,757,23,19,1
command_injection,2,cyber_only,random_forest,0.325,0.4418604651162791,0.95,0.6031746031746031,0.9596153846153845,0.9717307692307692,0.2970281865687694,0.03076923076923077,0.95,0.95,0.125,756,24,1,19
command_injection,2,cyber_only,hist_gradient_boosting,0.395,0.4418604651162791,0.95,0.6031746031746031,0.9596153846153845,0.9776282051282051,0.34753308472651234,0.03076923076923077,0.95,1.0,0.1,756,24,1,19
command_injection,2,physical_only,logistic_regression,0.91,0.27586206896551724,0.4,0.32653061224489793,0.6865384615384615,0.9617948717948717,0.24971738441748037,0.026923076923076925,0.4,0.85,0.1,759,21,12,8
command_injection,2,physical_only,random_forest,0.555,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,780,0,0,20
command_injection,2,physical_only,hist_gradient_boosting,0.905,0.5555555555555556,1.0,0.7142857142857143,0.9897435897435898,0.997628205128205,0.9191597702450107,0.020512820512820513,1.0,1.0,0.0,764,16,0,20
command_injection,2,fused,logistic_regression,0.875,0.04,0.05,0.044444444444444446,0.5096153846153846,0.6323717948717948,0.033858362652003544,0.03076923076923077,0.05,1.0,0.125,756,24,19,1
command_injection,2,fused,random_forest,0.5650000000000001,1.0,0.3,0.46153846153846156,0.65,0.9837820512820513,0.5941470564348313,0.0,0.3,0.3,0.0,780,0,14,6
command_injection,2,fused,hist_gradient_boosting,0.28,0.4634146341463415,0.95,0.6229508196721312,0.9608974358974358,0.9763461538461539,0.3334905893147859,0.028205128205128206,0.95,1.0,0.05,758,22,1,19
command_injection,3,cyber_only,logistic_regression,0.855,0.038461538461538464,0.05,0.043478260869565216,0.5089743589743589,0.22987179487179482,0.01883324094546776,0.03205128205128205,0.05,0.95,0.075,755,25,19,1
command_injection,3,cyber_only,random_forest,0.555,0.3548387096774194,0.55,0.43137254901960786,0.7621794871794871,0.9746153846153847,0.3186344563036108,0.02564102564102564,0.55,0.9,0.05,760,20,9,11
