threshold,block_precision,block_recall,block_f1,normal_command_false_block_rate
0.5,0.9975062344139651,1.0,0.9987515605493134,0.00013157894736842105
0.51,0.9975062344139651,1.0,0.9987515605493134,0.00013157894736842105
0.52,0.9975062344139651,1.0,0.9987515605493134,0.00013157894736842105
0.53,0.9975062344139651,1.0,0.9987515605493134,0.00013157894736842105
0.54,0.9975062344139651,1.0,0.9987515605493134,0.00013157894736842105
0.55,0.9975062344139651,1.0,0.9987515605493134,0.00013157894736842105
0.56,0.9975062344139651,1.0,0.9987515605493134,0.00013157894736842105
0.5700000000000001,0.9975062344139651,1.0,0.9987515605493134,0.00013157894736842105
0.58,0.9975062344139651,1.0,0.9987515605493134,0.00013157894736842105
0.59,0.9975062344139651,1.0,0.9987515605493134,0.00013157894736842105
0.6,0.9975062344139651,1.0,0.9987515605493134,0.00013157894736842105
0.61,0.9975062344139651,1.0,0.9987515605493134,0.00013157894736842105
0.62,0.9975062344139651,1.0,0.9987515605493134,0.00013157894736842105
0.63,0.9975062344139651,1.0,0.9987515605493134,0.00013157894736842105
0.64,0.9975062344139651,1.0,0.9987515605493134,0.00013157894736842105
0.65,0.9975062344139651,1.0,0.9987515605493134,0.00013157894736842105
0.66,0.9975062344139651,1.0,0.9987515605493134,0.00013157894736842105
0.67,0.9975062344139651,1.0,0.9987515605493134,0.00013157894736842105
0.6799999999999999,0.9975062344139651,1.0,0.9987515605493134,0.00013157894736842105
0.69,0.9975062344139651,1.0,0.9987515605493134,0.00013157894736842105
0.7,0.9975062344139651,1.0,0.9987515605493134,0.00013157894736842105
0.71,0.9975062344139651,1.0,0.9987515605493134,0.00013157894736842105
0.72,0.9975062344139651,1.0,0.9987515605493134,0.00013157894736842105
0.73,0.9975062344139651,1.0,0.9987515605493134,0.00013157894736842105
0.74,0.9975062344139651,1.0,0.9987515605493134,0.00013157894736842105
0.75,0.9975062344139651,1.0,0.9987515605493134,0.00013157894736842105
0.76,0.9975062344139651,1.0,0.9987515605493134,0.00013157894736842105
0.77,0.9975062344139651,1.0,0.9987515605493134,0.00013157894736842105
0.78,0.9975062344139651,1.0,0.9987515605493134,0.00013157894736842105
0.79,0.9975062344139651,1.0,0.9987515605493134,0.00013157894736842105
0.8,0.9975062344139651,1.0,0.9987515605493134,0.00013157894736842105
0.81,0.9975062344139651,1.0,0.9987515605493134,0.00013157894736842105
0.8200000000000001,0.9975062344139651,1.0,0.9987515605493134,0.00013157894736842105
0.8300000000000001,0.9975,0.9975,0.9975,0.00013157894736842105
0.8400000000000001,0.9975,0.9975,0.9975,0.00013157894736842105
0.8500000000000001,0.9975,0.9975,0.9975,0.00013157894736842105
0.86,0.9975,0.9975,0.9975,0.00013157894736842105
0.87,0.9975,0.9975,0.9975,0.00013157894736842105
0.88,0.9974937343358395,0.995,0.9962453066332916,0.00013157894736842105
0.89,0.9974937343358395,0.995,0.9962453066332916,0.00013157894736842105
0.9,0.9974937343358395,0.995,0.9962453066332916,0.00013157894736842105
0.91,0.9974937343358395,0.995,0.9962453066332916,0.00013157894736842105
0.9199999999999999,0.9974937343358395,0.995,0.9962453066332916,0.00013157894736842105
0.9299999999999999,0.9974937343358395,0.995,0.9962453066332916,0.00013157894736842105
0.94,0.9974937343358395,0.995,0.9962453066332916,0.00013157894736842105
0.95,0.9974937343358395,0.995,0.9962453066332916,0.00013157894736842105
0.96,0.9974937343358395,0.995,0.9962453066332916,0.00013157894736842105
0.97,1.0,0.9925,0.9962358845671268,0.0
0.98,1.0,0.9825,0.9911727616645649,0.0
0.99,1.0,0.97,0.9847715736040609,0.0
0.995,1.0,0.955,0.9769820971867008,0.0
0.999,1.0,0.94,0.9690721649484536,0.0
