fold,command_precision,command_recall,command_f1,attack_event_recall,attacked_run_recall,normal_run_false_positive_rate,base_command_threshold,base_run_threshold,temporal_command_threshold,base_pca_components,temporal_pca_components
1,0.07309941520467836,0.9375,0.13562386980108498,0.9375,0.95,0.175,0.03550167856911115,0.03572787619657756,0.023858691823114894,11,22
2,0.07755102040816327,0.95,0.14339622641509434,0.95,0.95,0.075,0.03593256282446206,0.03684204094248379,0.023476697454040886,11,22
3,0.07654075546719682,0.9625,0.141804788213628,0.9625,0.975,0.125,0.036243615905024826,0.037306099789177906,0.015957943389091386,11,22
4,0.07378640776699029,0.95,0.13693693693693693,0.95,0.9625,0.125,0.03551347192638154,0.03592612295428551,0.01804998546157843,11,22
5,0.0725338491295938,0.9375,0.13464991023339318,0.9375,0.95,0.225,0.03530109280446297,0.03552063969291582,0.036653240389151395,11,22
