scenario_id,axis,held_out_value,outer_fold,feature_set,model,fit_runs,threshold_runs,test_runs,threshold,precision,recall,f1,balanced_accuracy,mcc,roc_auc,pr_auc,false_positive_rate,attack_event_recall,attacked_run_alert_recall,normal_run_false_positive_rate,tn,fp,fn,tp
holdout_object_cube,object,cube,3,fused,logistic_regression,192,48,100,0.9,0.0,0.0,0.0,0.4991596638655462,-0.008988968316207744,0.7518207282913165,0.08648344925193069,0.0016806722689075631,0.0,0.016666666666666666,0.025,1188,2,60,0
holdout_object_cube,object,cube,3,fused,random_forest,192,48,100,0.37,0.0,0.0,0.0,0.5,0.0,0.8380602240896358,0.4972272665809081,0.0,0.0,0.0,0.0,1190,0,60,0
holdout_object_cube,object,cube,3,fused,hist_gradient_boosting,192,48,100,0.53,0.0,0.0,0.0,0.4957983193277311,-0.020164678490039667,0.9162605042016807,0.3331003900319231,0.008403361344537815,0.0,0.16666666666666666,0.0,1180,10,60,0
holdout_object_cube,object,cube,4,cyber_only,logistic_regression,190,48,98,0.93,0.0,0.0,0.0,0.49568221070811747,-0.02037914987108083,0.5552974807932821,0.04904098615464352,0.008635578583765112,0.0,0.1724137931034483,0.0,1148,10,58,0
holdout_object_cube,object,cube,4,cyber_only,random_forest,190,48,98,0.495,0.0,0.0,0.0,0.4995682210708117,-0.006420540327366508,0.9673336906676197,0.530781383266256,0.0008635578583765112,0.0,0.017241379310344827,0.0,1157,1,58,0
holdout_object_cube,object,cube,4,cyber_only,hist_gradient_boosting,190,48,98,0.915,0.0,0.0,0.0,0.5,0.0,0.8831516884045024,0.20734217421105947,0.0,0.0,0.0,0.0,1158,0,58,0
holdout_object_cube,object,cube,4,physical_only,logistic_regression,190,48,98,0.9550000000000001,0.0,0.0,0.0,0.4991364421416235,-0.009083754148644214,0.7895598832708,0.10524957400464727,0.0017271157167530224,0.0,0.034482758620689655,0.0,1156,2,58,0
holdout_object_cube,object,cube,4,physical_only,random_forest,190,48,98,0.495,1.0,0.06896551724137931,0.12903225806451613,0.5344827586206896,0.25669592161966526,0.9290021440057175,0.4763904092414768,0.0,0.06896551724137931,0.06896551724137931,0.0,1158,0,54,4
holdout_object_cube,object,cube,4,physical_only,hist_gradient_boosting,190,48,98,0.9650000000000001,0.0,0.0,0.0,0.5,0.0,0.8516690488952415,0.37315523059749683,0.0,0.0,0.0,0.0,1158,0,58,0
holdout_object_cube,object,cube,4,fused,logistic_regression,190,48,98,0.9600000000000001,0.0,0.0,0.0,0.4995682210708117,-0.006420540327366508,0.7938925614912751,0.12838206456683054,0.0008635578583765112,0.0,0.0,0.025,1157,1,58,0
holdout_object_cube,object,cube,4,fused,random_forest,190,48,98,0.56,0.0,0.0,0.0,0.5,0.0,0.9578271097611816,0.5695818876099062,0.0,0.0,0.0,0.0,1158,0,58,0
holdout_object_cube,object,cube,4,fused,hist_gradient_boosting,190,48,98,0.99,0.0,0.0,0.0,0.5,0.0,0.9541420999344887,0.3607109031519971,0.0,0.0,0.0,0.0,1158,0,58,0
holdout_object_cube,object,cube,5,cyber_only,logistic_regression,195,49,104,0.975,0.0,0.0,0.0,0.4992044550517104,-0.008786480473215147,0.5402247414478918,0.04824604910347315,0.0015910898965791568,0.0,0.015625,0.025,1255,2,64,0
holdout_object_cube,object,cube,5,cyber_only,random_forest,195,49,104,0.66,0.0,0.0,0.0,0.5,0.0,0.9666616945107398,0.5235928408559939,0.0,0.0,0.0,0.0,1257,0,64,0
holdout_object_cube,object,cube,5,cyber_only,hist_gradient_boosting,195,49,104,0.915,0.0,0.0,0.0,0.49482895783611774,-0.02249521520610341,0.8863551610978521,0.19207797522154116,0.010342084327764518,0.0,0.203125,0.0,1244,13,64,0
holdout_object_cube,object,cube,5,physical_only,logistic_regression,195,49,104,0.9450000000000001,0.0,0.0,0.0,0.4992044550517104,-0.008786480473215147,0.7492044550517104,0.08940372197870393,0.0015910898965791568,0.0,0.015625,0.025,1255,2,64,0
holdout_object_cube,object,cube,5,physical_only,random_forest,195,49,104,0.645,0.0,0.0,0.0,0.5,0.0,0.8048926014319808,0.3988241601159773,0.0,0.0,0.0,0.0,1257,0,64,0
holdout_object_cube,object,cube,5,physical_only,hist_gradient_boosting,195,49,104,0.935,0.0,0.0,0.0,0.5,0.0,0.7591363365155132,0.36745717839815745,0.0,0.0,0.0,0.0,1257,0,64,0
holdout_object_cube,object,cube,5,fused,logistic_regression,195,49,104,0.9500000000000001,0.6,0.046875,0.08695652173913043,0.5226419550517104,0.1583392555049266,0.7408512330946698,0.15056214726145023,0.0015910898965791568,0.046875,0.046875,0.05,1255,2,61,3
holdout_object_cube,object,cube,5,fused,random_forest,195,49,104,0.7000000000000001,0.0,0.0,0.0,0.5,0.0,0.8163658512330946,0.46217514449327324,0.0,0.0,0.0,0.0,1257,0,64,0
holdout_object_cube,object,cube,5,fused,hist_gradient_boosting,195,49,104,0.9450000000000001,0.0,0.0,0.0,0.4972155926809865,-0.01646924482141239,0.9153055389817024,0.3374499446742087,0.005568814638027049,0.0,0.109375,0.0,1250,7,64,0
holdout_object_cylinder,object,cylinder,1,cyber_only,logistic_regression,316,79,55,0.715,0.0,0.0,0.0,0.4798439531859558,-0.02833777961569287,0.6540095361941916,0.02692588674631438,0.04031209362808843,0.0,0.2,0.7,738,31,15,0
holdout_object_cylinder,object,cylinder,1,cyber_only,random_forest,316,79,55,0.31,0.8,0.5333333333333333,0.64,0.7653662765496316,0.6479090489169257,0.9967056783701778,0.848408214243791,0.002600780234070221,0.5333333333333333,0.6,0.025,767,2,7,8
holdout_object_cylinder,object,cylinder,1,cyber_only,hist_gradient_boosting,316,79,55,0.765,0.5,0.06666666666666667,0.11764705882352941,0.5326831382748158,0.17751872585640566,0.9864759427828348,0.6490075949964149,0.0013003901170351106,0.06666666666666667,0.06666666666666667,0.025,768,1,14,1
holdout_object_cylinder,object,cylinder,1,physical_only,logistic_regression,316,79,55,0.935,0.0,0.0,0.0,0.4960988296488947,-0.012265020722897719,0.7900303424360642,0.060123494565816664,0.007802340702210663,0.0,0.0,0.125,763,6,15,0
holdout_object_cylinder,object,cylinder,1,physical_only,random_forest,316,79,55,0.41000000000000003,0.0,0.0,0.0,0.5,0.0,0.9824880797572605,0.5692685518385983,0.0,0.0,0.0,0.0,769,0,15,0
holdout_object_cylinder,object,cylinder,1,physical_only,hist_gradient_boosting,316,79,55,0.03,0.5,0.06666666666666667,0.11764705882352941,0.5326831382748158,0.17751872585640566,0.9460771564802775,0.3746053310022258,0.0013003901170351106,0.06666666666666667,0.06666666666666667,0.025,768,1,14,1
holdout_object_cylinder,object,cylinder,1,fused,logistic_regression,316,79,55,0.915,0.0,0.0,0.0,0.4986996098829649,-0.007063079278106326,0.8071087993064586,0.07249326656115829,0.002600780234070221,0.0,0.0,0.05,767,2,15,0
holdout_object_cylinder,object,cylinder,1,fused,random_forest,316,79,55,0.47000000000000003,0.0,0.0,0.0,0.5,0.0,0.9933246640658864,0.787964630828408,0.0,0.0,0.0,0.0,769,0,15,0
holdout_object_cylinder,object,cylinder,1,fused,hist_gradient_boosting,316,79,55,0.105,1.0,0.2,0.3333333333333333,0.6,0.4437645959800382,0.9950585175552666,0.8334135000801667,0.0,0.2,0.2,0.0,769,0,12,3
holdout_object_cylinder,object,cylinder,2,cyber_only,logistic_regression,325,82,67,0.8400000000000001,0.0,0.0,0.0,0.5,0.0,0.5075914423740511,0.026942531404148564,0.0,0.0,0.0,0.0,966,0,27,0
holdout_object_cylinder,object,cylinder,2,cyber_only,random_forest,325,82,67,0.5750000000000001,1.0,0.14814814814814814,0.25806451612903225,0.5740740740740741,0.38039826810497046,0.9930220075147612,0.7890339447276047,0.0,0.14814814814814814,0.14814814814814814,0.0,966,0,23,4
